Series,Cluster
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022669748,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737098,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185558546,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021296398,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000396816960,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738183,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000023353657,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737111,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020737139,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736967,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375872820,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000494930928,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022659502,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021437724,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001491573920,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020741520,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021412981,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001378099580,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375509416,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940279486,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020733607,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940159276,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021389245,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377412698,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001578498780,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940033536,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000062185115,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021408528,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001377116620,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020738220,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021204374,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022493661,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001185823191,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021284370,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736969,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021243992,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001130877078,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000494813084,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001375591476,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021072261,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000033563793,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000940043828,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021372226,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000062158199,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000021307908,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000022506460,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000020736592,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000151923678,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_000668023731,Cluster 0
/Users/arossi/Desktop/BigQuery/preprocessed/machine_001378127531,Cluster 0
